Type,Compound ID,Protein ID,Predicted Value,Original Value,Difference,Difference Sq
PREDICTION,CHEMBL1421864,P03372,4.53720569610596,7.68,3.14279430389404,9.87715603658884
PREDICTION,CHEMBL4176843,P03372,7.42722749710083,7.19,-0.23722749710083,0.056276885380724
PREDICTION,CHEMBL4170100,P03372,6.2490553855896,8.1,1.8509446144104,3.42599596561486
PREDICTION,CHEMBL2111532,P03372,8.3586368560791,4.37,-3.9886368560791,15.9092239696726
PREDICTION,CHEMBL2103774,P03372,6.21733140945435,8.21,1.99266859054566,3.97072811174721
PREDICTION,CHEMBL1507012,P03372,4.80133199691772,6.4,1.59866800308228,2.55573938407907
PREDICTION,CHEMBL282575,P03372,7.17655324935913,5.64,-1.53655324935913,2.3609958881161
PREDICTION,CHEMBL213838,P03372,6.31958866119385,4.47,-1.84958866119385,3.42097821561685
PREDICTION,CHEMBL243790,P03372,9.97848415374756,5.2,-4.77848415374756,22.8339108076165
PREDICTION,CHEMBL209851,P03372,6.78977584838867,6.85,0.060224151611328,0.003626948437304
PREDICTION,CHEMBL380838,P03372,5.25273656845093,6.07,0.817263431549073,0.667919516547366
PREDICTION,CHEMBL4174789,P03372,8.92230796813965,4.58,-4.34230796813965,18.8556384901691
PREDICTION,CHEMBL434346,P03372,7.80829238891602,9.1,1.29170761108398,1.66850855253229
PREDICTION,CHEMBL150879,P03372,6.20298433303833,7.15,0.94701566696167,0.896838673470857
PREDICTION,CHEMBL3622998,P03372,6.38793134689331,9.4,3.01206865310669,9.07255757102795
PREDICTION,CHEMBL4166530,P03372,5.19448041915894,6.5,1.30551958084106,1.70438137595943
PREDICTION,CHEMBL1541779,P03372,4.52573204040527,5.17,0.644267959594727,0.415081203760352
PREDICTION,CHEMBL1669762,P03372,5.24430799484253,5.9,0.655692005157471,0.429932005627425
PREDICTION,CHEMBL2403347,P03372,5.54874420166016,6.91,1.36125579833984,1.85301734851385
PREDICTION,CHEMBL4216877,P03372,7.33115100860596,6.75,-0.581151008605957,0.337736494803721
PREDICTION,CHEMBL188957,P03372,6.04603719711304,5.77,-0.276037197113038,0.076196534190022
PREDICTION,CHEMBL153706,P03372,6.05677366256714,6.75,0.693226337432861,0.480562754910579
PREDICTION,CHEMBL1334930,P03372,4.71961355209351,4.9,0.180386447906495,0.032539270588323
PREDICTION,CHEMBL4211975,P03372,5.05646419525147,8.21,3.15353580474854,9.944788071831
PREDICTION,CHEMBL2332570,P03372,5.69213628768921,8.74,3.04786371231079,9.28947320882092
PREDICTION,CHEMBL1428161,P03372,4.55740213394165,7.4,2.84259786605835,8.08036262811948
PREDICTION,CHEMBL1404155,P03372,4.71781730651856,5.75,1.03218269348145,1.06540111272261
PREDICTION,CHEMBL3622997,P03372,6.52174711227417,5.24,-1.28174711227417,1.64287565982317
PREDICTION,CHEMBL4278678,P03372,6.22166395187378,9.04,2.81833604812622,7.94301808016772
PREDICTION,CHEMBL389393,P03372,6.88164234161377,8.2,1.31835765838623,1.73806691542562
PREDICTION,CHEMBL383253,P03372,5.62479829788208,7.5,1.87520170211792,3.51638142362594
PREDICTION,CHEMBL186597,P03372,7.24536561965942,5.5,-1.74536561965942,3.04630114628912
PREDICTION,CHEMBL4077815,P03372,6.19962215423584,8.22,2.02037784576416,4.08192663965463
PREDICTION,CHEMBL180792,P03372,8.68173789978027,7.19,-1.49173789978027,2.22528196164086
PREDICTION,CHEMBL1413557,P03372,4.61710500717163,8.41,3.79289499282837,14.3860524266225
PREDICTION,CHEMBL3581682,P03372,9.37994480133057,6.21,-3.16994480133057,10.0485500434827
PREDICTION,CHEMBL1392657,P03372,4.58166313171387,4.76,0.178336868286133,0.031804038590106
PREDICTION,CHEMBL4106817,P03372,5.1167163848877,6.14,1.0232836151123,1.04710935695731
PREDICTION,CHEMBL1442697,P03372,5.36484003067017,7.28,1.91515996932983,3.66783770812345
PREDICTION,CHEMBL198411,P03372,7.21023321151733,7.64,0.429766788482666,0.184699492482704
PREDICTION,CHEMBL193207,P03372,7.04810857772827,8.02,0.971891422271728,0.944572936685363
PREDICTION,CHEMBL3657148,P03372,7.13341856002808,4.66,-2.47341856002808,6.11779937309136
PREDICTION,CHEMBL3581644,P03372,7.11442756652832,5.99,-1.12442756652832,1.2643373523688
PREDICTION,CHEMBL426854,P03372,5.26403951644897,9.7,4.43596048355103,19.6777454116262
PREDICTION,CHEMBL191711,P03372,6.94732189178467,8.27,1.32267810821533,1.74947737795209
PREDICTION,CHEMBL212419,P03372,6.11532354354858,7.46,1.34467645645142,1.80815477253474
PREDICTION,CHEMBL426641,P03372,6.9895510673523,9.15,2.16044893264771,4.66753959057861
PREDICTION,CHEMBL3775410,P03372,6.7068018913269,7.64,0.933198108673095,0.870858710031042
PREDICTION,CHEMBL4175179,P03372,9.21071624755859,6.25,-2.96071624755859,8.76584069855744
PREDICTION,CHEMBL3827098,P03372,4.80673027038574,6.4,1.59326972961426,2.53850843130509
PREDICTION,CHEMBL4076693,P03372,7.79078006744385,5.26,-2.53078006744385,6.40484774977109
PREDICTION,CHEMBL1383151,P03372,5.44301557540894,4.71,-0.733015575408936,0.537311833792093
PREDICTION,CHEMBL78413,P03372,5.99706840515137,5.02,-0.977068405151368,0.954662668345037
PREDICTION,CHEMBL93391,P03372,7.21607160568237,6.43,-0.786071605682373,0.617908569260065
PREDICTION,CHEMBL185114,P03372,8.79110240936279,8.66,-0.131102409362793,0.017187841740729
PREDICTION,CHEMBL436859,P03372,6.89771699905396,5.42,-1.47771699905396,2.18364752929303
PREDICTION,CHEMBL1313979,P03372,5.42698574066162,8.54,3.11301425933838,9.69085777884407
PREDICTION,CHEMBL235829,P03372,8.04482173919678,6.14,-1.90482173919678,3.62834585811664
PREDICTION,CHEMBL539462,P03372,6.44545698165894,4.15,-2.29545698165894,5.26912275464675
PREDICTION,CHEMBL4086339,P03372,7.48522281646729,6.26,-1.22522281646729,1.50117094999203
PREDICTION,CHEMBL4206798,P03372,6.75247097015381,6.75,-0.002470970153809,6.10569350101287E-06
PREDICTION,CHEMBL4069985,P03372,5.45087099075317,4.01,-1.44087099075317,2.07610921199403
PREDICTION,CHEMBL4282219,P03372,5.81548500061035,4.74,-1.07548500061035,1.15666798653785
PREDICTION,CHEMBL206648,P03372,4.57017993927002,8.43,3.85982006072998,14.8982109012136
PREDICTION,CHEMBL4059624,P03372,7.61155509948731,5.48,-2.1315550994873,4.54352714215033
PREDICTION,CHEMBL4079530,P03372,8.3914852142334,5.99,-2.4014852142334,5.76713123418163
PREDICTION,CHEMBL203122,P03372,4.81740713119507,8.77,3.95259286880493,15.6229903865276
PREDICTION,CHEMBL4225954,P03372,6.40007209777832,5.29,-1.11007209777832,1.23226006226596
PREDICTION,CHEMBL4229221,P03372,7.59059190750122,8.52,0.929408092498779,0.863799402402219
PREDICTION,CHEMBL1230314,P03372,8.80103778839111,5.28,-3.52103778839111,12.3977071072782
PREDICTION,CHEMBL4099166,P03372,8.78324794769287,8.96,0.17675205230713,0.031241287994782
PREDICTION,CHEMBL4103516,P03372,7.19118642807007,6.65,-0.541186428070068,0.292882749927239
PREDICTION,CHEMBL244205,P03372,8.9563684463501,6.26,-2.6963684463501,7.27040279847244
PREDICTION,CHEMBL398552,P03372,7.42798042297363,7.64,0.212019577026367,0.04495230104244
PREDICTION,CHEMBL1381306,P03372,4.7894458770752,4.37,-0.419445877075195,0.17593484379538
PREDICTION,CHEMBL186073,P03372,5.63899040222168,5,-0.63899040222168,0.408308734131424
PREDICTION,CHEMBL4083780,P03372,7.53905344009399,6.17,-1.36905344009399,1.8743073218332
PREDICTION,CHEMBL4167595,P03372,5.64817714691162,7.96,2.31182285308838,5.34452490406169
PREDICTION,CHEMBL3109156,P03372,6.02286052703857,7.64,1.61713947296143,2.61514007500996
PREDICTION,CHEMBL2079587,P03372,4.623291015625,7.15,2.526708984375,6.38425829172135
PREDICTION,CHEMBL363630,P03372,6.47590398788452,5.17,-1.30590398788452,1.7053852255727
PREDICTION,CHEMBL205934,P03372,6.14582252502441,7.96,1.81417747497559,3.29123991070879
PREDICTION,CHEMBL362356,P03372,5.6364278793335,6.26,0.623572120666504,0.388842189672521
PREDICTION,CHEMBL206600,P03372,5.89047813415527,6.72,0.829521865844726,0.688106525914516
PREDICTION,CHEMBL225514,P03372,6.37492036819458,6.15,-0.22492036819458,0.050589172028785
PREDICTION,CHEMBL355980,P03372,5.50564336776733,4.1,-1.40564336776733,1.97583327734829
PREDICTION,CHEMBL1597831,P03372,6.08928489685059,9.15,3.06071510314941,9.36797694264693
PREDICTION,CHEMBL346215,P03372,6.80276250839233,7.96,1.15723749160767,1.3391986119824
PREDICTION,CHEMBL3099429,P03372,7.22853803634644,4.89,-2.33853803634644,5.46876014743904
PREDICTION,CHEMBL386502,P03372,6.45291948318481,6.36,-0.092919483184814,0.008634030355333
PREDICTION,CHEMBL183162,P03372,8.33416652679443,6.11,-2.22416652679443,4.94691673891281
PREDICTION,CHEMBL411,P03372,6.94355440139771,4.91,-2.0335544013977,4.13534350344398
PREDICTION,CHEMBL514646,P03372,4.89866018295288,4.6,-0.298660182952881,0.089197904881449
PREDICTION,CHEMBL2372060,P03372,5.6174111366272,9.62,4.0025888633728,16.020717609196
PREDICTION,CHEMBL1386105,P03372,4.70246934890747,9.15,4.44753065109253,19.7805288924075
PREDICTION,CHEMBL235496,P03372,6.56473207473755,7.14,0.575267925262451,0.330933185835765
PREDICTION,CHEMBL198679,P03372,5.80577898025513,5.8,-0.005778980255127,3.33966127891492E-05
PREDICTION,CHEMBL4073373,P03372,6.78132820129395,7.62,0.838671798706055,0.703370385944849
PREDICTION,CHEMBL3735995,P03372,5.70913171768189,5.93,0.220868282318115,0.048782798134155
PREDICTION,CHEMBL1208076,P03372,6.01846218109131,6.95,0.931537818908692,0.867762708057162
PREDICTION,CHEMBL200483,P03372,5.54570484161377,6.17,0.62429515838623,0.389744444784488
PREDICTION,CHEMBL4279069,P03372,5.91553163528442,6.42,0.504468364715576,0.254488330998808
PREDICTION,CHEMBL379566,P03372,6.20456647872925,7.7,1.49543352127075,2.23632141654024
PREDICTION,CHEMBL1347829,P03372,4.75358819961548,5.08,0.326411800384522,0.106544663430265
PREDICTION,CHEMBL1541552,P03372,4.94766139984131,5.18,0.232338600158691,0.0539812251237
PREDICTION,CHEMBL363017,P03372,6.12677240371704,6.35,0.223227596282959,0.049830559742268
PREDICTION,CHEMBL3961676,P03372,6.83549547195435,6.75,-0.085495471954346,0.007309475724696
PREDICTION,CHEMBL285483,P03372,5.55762529373169,7.76,2.20237470626831,4.85045434681043
PREDICTION,CHEMBL195465,P03372,6.94747400283814,7.98,1.03252599716187,1.06610993481511
PREDICTION,CHEMBL3589368,P03372,5.70412445068359,7.7,1.99587554931641,3.98351920835907
PREDICTION,CHEMBL3360843,P03372,6.29152297973633,9.3,3.00847702026367,9.05093398145459
PREDICTION,CHEMBL85881,P03372,8.28887557983398,5.53,-2.75887557983398,7.6113944650043
PREDICTION,CHEMBL2178798,P03372,6.81640911102295,7.13,0.313590888977051,0.098339245649417
PREDICTION,CHEMBL211493,P03372,6.19941377639771,5.68,-0.519413776397705,0.269790671111725
PREDICTION,CHEMBL185126,P03372,7.36497831344605,4.77,-2.59497831344605,6.73391244725528
PREDICTION,CHEMBL378990,P03372,5.87253284454346,8.62,2.74746715545654,7.54857577031246
PREDICTION,CHEMBL192765,P03372,7.50247097015381,6.31,-1.19247097015381,1.42198701465957
PREDICTION,CHEMBL2112892,P03372,6.27858352661133,6.51,0.231416473388672,0.05355358415565
PREDICTION,CHEMBL3234620,P03372,7.63804721832275,5.75,-1.88804721832275,3.56472229861629
PREDICTION,CHEMBL238961,P03372,7.25750207901001,5.99,-1.26750207901001,1.6065615202947
PREDICTION,CHEMBL220072,P03372,7.06571483612061,6.6,-0.465714836120606,0.216890308582843
PREDICTION,CHEMBL1784260,P03372,6.16643953323364,5.12,-1.04643953323364,1.09503569671424
PREDICTION,CHEMBL450940,P03372,5.91928100585938,6.8,0.880718994140625,0.775665946640074
PREDICTION,CHEMBL2332584,P03372,5.44360303878784,8.4,2.95639696121216,8.74028299226449
PREDICTION,CHEMBL1391547,P03372,5.46891021728516,5.44,-0.028910217285156,0.000835800663475
PREDICTION,CHEMBL187978,P03372,5.45331621170044,8.12,2.66668378829956,7.11120242677969
PREDICTION,CHEMBL1566266,P03372,4.46262693405151,7.92,3.45737306594849,11.953428517146
PREDICTION,CHEMBL4161695,P03372,9.62176990509033,6.35,-3.27176990509033,10.7044783118548
PREDICTION,CHEMBL363425,P03372,6.80413150787354,6.46,-0.344131507873535,0.118426494711313
PREDICTION,CHEMBL48352,P03372,7.56781673431397,7.35,-0.217816734313965,0.047444129747201
PREDICTION,CHEMBL204222,P03372,5.81106376647949,7.19,1.37893623352051,1.90146513611573
PREDICTION,CHEMBL1367590,P03372,5.52961778640747,5.05,-0.479617786407471,0.230033221038402
PREDICTION,CHEMBL1580036,P03372,4.9336142539978,4.09,-0.843614253997803,0.71168500954827
PREDICTION,CHEMBL3586192,P03372,7.78300428390503,7.16,-0.623004283905029,0.388134337764018
PREDICTION,CHEMBL191300,P03372,7.37861967086792,6.16,-1.21861967086792,1.48503390222624
PREDICTION,CHEMBL3657149,P03372,8.23324298858643,5.76,-2.47324298858643,6.11693088059192
PREDICTION,CHEMBL3657172,P03372,7.53157186508179,4.83,-2.70157186508179,7.29849054220149
PREDICTION,CHEMBL2403357,P03372,7.15246725082397,5.84,-1.31246725082397,1.72257028448544
PREDICTION,CHEMBL222580,P03372,6.50163078308106,6.91,0.408369216918945,0.166765417326993
PREDICTION,CHEMBL379821,P03372,6.92586994171143,6.64,-0.285869941711426,0.081721623574094
PREDICTION,CHEMBL524104,P03372,5.99803400039673,7.19,1.19196599960327,1.42078294421023
PREDICTION,CHEMBL1818254,P03372,5.9128623008728,5.71,-0.202862300872803,0.041153113115408
PREDICTION,CHEMBL372808,P03372,8.19605159759522,5.14,-3.05605159759522,9.33945136716427
PREDICTION,CHEMBL219134,P03372,6.42981576919556,9.1,2.67018423080444,7.12988382643672
PREDICTION,CHEMBL4247363,P03372,6.63647603988647,5.06,-1.57647603988648,2.48527670433614
PREDICTION,CHEMBL78567,P03372,6.16573858261108,5.97,-0.195738582611084,0.038313592722596
PREDICTION,CHEMBL3775016,P03372,9.29360389709473,8.37,-0.923603897094727,0.853044158728568
PREDICTION,CHEMBL1388431,P03372,4.84211921691895,7.89,3.04788078308105,9.28957726787478
PREDICTION,CHEMBL150721,P03372,6.76964855194092,8.91,2.14035144805908,4.58110432120861
PREDICTION,CHEMBL316292,P03372,6.5871114730835,6.47,-0.117111473083496,0.013715097127787
PREDICTION,CHEMBL328716,P03372,8.58576774597168,5.85,-2.73576774597168,7.48442515989897
PREDICTION,CHEMBL1573735,P03372,4.96104431152344,8.52,3.55895568847656,12.6661655925397
PREDICTION,CHEMBL3597505,P03372,6.43299198150635,5.54,-0.892991981506348,0.797434679034633
PREDICTION,CHEMBL377295,P03372,4.42685031890869,4.84,0.413149681091308,0.17069265898585
PREDICTION,CHEMBL57875,P03372,6.3550295829773,5.84,-0.515029582977295,0.265255471341766
PREDICTION,CHEMBL369545,P03372,9.13570499420166,5.53,-3.60570499420166,13.0011085052108
PREDICTION,CHEMBL30769,P03372,5.60089063644409,7.08,1.47910936355591,2.18776450935876
PREDICTION,CHEMBL236496,P03372,5.56371355056763,5.72,0.156286449432373,0.024425454276178
PREDICTION,CHEMBL3427395,P03372,6.80864429473877,9.52,2.71135570526123,7.35144976045262
PREDICTION,CHEMBL3765583,P03372,7.11449670791626,5.42,-1.69449670791626,2.87131909313904
PREDICTION,CHEMBL3234612,P03372,8.6810417175293,5.18,-3.5010417175293,12.2572931078805
PREDICTION,CHEMBL1097284,P03372,6.61670589447022,6.17,-0.446705894470215,0.199546156154435
PREDICTION,CHEMBL381697,P03372,6.39085054397583,5.92,-0.47085054397583,0.221700234762335
PREDICTION,CHEMBL3968559,P03372,6.13391304016113,6.72,0.586086959838867,0.343497924493166
PREDICTION,CHEMBL1086652,P03372,7.30861759185791,6.96,-0.34861759185791,0.121534225352808
PREDICTION,CHEMBL1426255,P03372,4.98233842849731,7.91,2.92766157150269,8.57120227725357
PREDICTION,CHEMBL188792,P03372,5.77254247665405,6.5,0.727457523345947,0.529194448272619
PREDICTION,CHEMBL3109601,P03372,5.6173210144043,4.76,-0.857321014404297,0.734999321739213
PREDICTION,CHEMBL4228617,P03372,7.43082189559937,9.1,1.66917810440063,2.7861555442105
PREDICTION,CHEMBL4066683,P03372,6.77220773696899,5.77,-1.00220773696899,1.00442034804051
PREDICTION,CHEMBL188049,P03372,6.1227297782898,4.42,-1.7027297782898,2.89928869787481
PREDICTION,CHEMBL1329686,P03372,4.794602394104,6.75,1.955397605896,3.82357979714379
PREDICTION,CHEMBL3657178,P03372,6.83389472961426,8.62,1.78610527038574,3.19017203689972
PREDICTION,CHEMBL2178796,P03372,5.96827173233032,8.31,2.34172826766968,5.48369127960323
PREDICTION,CHEMBL1596554,P03372,5.54868841171265,5.43,-0.118688411712647,0.014086939074871
PREDICTION,CHEMBL4175025,P03372,8.78931713104248,6.18,-2.60931713104248,6.80853589035176
PREDICTION,CHEMBL383533,P03372,7.03551912307739,5.6,-1.43551912307739,2.06071515272089
PREDICTION,CHEMBL3360846,P03372,6.25478029251099,6.04,-0.214780292510986,0.046130574051105
PREDICTION,CHEMBL1627353,P03372,6.98641347885132,4.42,-2.56641347885132,6.58647814442973
PREDICTION,CHEMBL4176232,P03372,5.00953960418701,7.07,2.06046039581299,4.24549704271382
PREDICTION,CHEMBL371072,P03372,7.26570606231689,6.33,-0.935706062316894,0.875545835056588
PREDICTION,CHEMBL1410824,P03372,4.94347620010376,8.22,3.27652379989624,10.7356082112865
PREDICTION,CHEMBL132868,P03372,7.62273216247559,7.28,-0.342732162475586,0.117465335195191
PREDICTION,CHEMBL4175592,P03372,6.87821674346924,7.23,0.351783256530762,0.123751459575388
PREDICTION,CHEMBL153062,P03372,7.12543344497681,5.59,-1.53543344497681,2.35755586395334
PREDICTION,CHEMBL4064926,P03372,7.25755596160889,8.62,1.36244403839111,1.85625375774748
PREDICTION,CHEMBL195208,P03372,6.62030267715454,6.19,-0.430302677154541,0.185160393966365
PREDICTION,CHEMBL4082510,P03372,7.20673751831055,7.55,0.343262481689453,0.117829131335602
PREDICTION,CHEMBL212992,P03372,6.49113178253174,6.06,-0.431131782531739,0.185874613908994
PREDICTION,CHEMBL3427412,P03372,5.79234600067139,6.67,0.877653999328613,0.770276542537509
PREDICTION,CHEMBL4065761,P03372,7.30813026428223,4.49,-2.81813026428223,7.94185818646341
PREDICTION,CHEMBL207324,P03372,7.84363412857056,7.25,-0.593634128570557,0.352401478603724
PREDICTION,CHEMBL316132,P03372,8.1608190536499,7.23,-0.930819053649902,0.866424110637699
PREDICTION,CHEMBL4169918,P03372,9.33098030090332,5.18,-4.15098030090332,17.2306374584874
PREDICTION,CHEMBL365290,P03372,7.89241695404053,7.75,-0.142416954040527,0.020282588798182
PREDICTION,CHEMBL381299,P03372,5.81449460983276,4.8,-1.01449460983276,1.02919931337973
PREDICTION,CHEMBL3764615,P03372,8.28889274597168,9.15,0.861107254028321,0.741505702940195
PREDICTION,CHEMBL493702,P03372,5.41906023025513,8.7,3.28093976974487,10.7645657726935
PREDICTION,CHEMBL3589362,P03372,5.9172248840332,6.8,0.882775115966797,0.779291905370191
PREDICTION,CHEMBL4225034,P03372,5.59208631515503,5.12,-0.472086315155029,0.222865488956654
PREDICTION,CHEMBL1447305,P03372,5.05279588699341,6.39,1.33720411300659,1.78811483984175
PREDICTION,CHEMBL2112471,P03372,6.63320207595825,6.77,0.136797924041748,0.018713672022132
PREDICTION,CHEMBL77609,P03372,6.37028408050537,7.1,0.729715919494629,0.532485323163891
PREDICTION,CHEMBL226269,P03372,8.17632961273193,4.93,-3.24632961273193,10.5386559545003
PREDICTION,CHEMBL184202,P03372,8.0173511505127,8,-0.017351150512695,0.000301062424114
PREDICTION,CHEMBL1082539,P03372,8.14837455749512,7.42,-0.728374557495117,0.530529496006208
PREDICTION,CHEMBL93546,P03372,8.27387237548828,7.8,-0.473872375488281,0.224555028250907
PREDICTION,CHEMBL4099302,P03372,8.963134765625,7.22,-1.743134765625,3.03851881113052
PREDICTION,CHEMBL373095,P03372,7.56993913650513,8.77,1.20006086349487,1.44014607609206
PREDICTION,CHEMBL93705,P03372,8.43996906280518,9.1,0.660030937194824,0.435640838054278
PREDICTION,CHEMBL94030,P03372,8.22843456268311,8.41,0.181565437316895,0.032966008028075
PREDICTION,CHEMBL222522,P03372,7.09780216217041,5.23,-1.86780216217041,3.48868491700846
PREDICTION,CHEMBL189287,P03372,6.39743041992188,9.52,3.12256958007812,9.75044078242927
PREDICTION,CHEMBL377644,P03372,6.43962907791138,7.62,1.18037092208862,1.39327551371235
PREDICTION,CHEMBL3765127,P03372,7.3363938331604,5.76,-1.5763938331604,2.48501751722614
PREDICTION,CHEMBL35204,P03372,6.28672790527344,6.32,0.033272094726563,0.001107032287493
PREDICTION,CHEMBL489585,P03372,6.92476463317871,8.25,1.32523536682129,1.75624877747396
PREDICTION,CHEMBL3409958,P03372,6.35301351547241,4.82,-1.53301351547241,2.35013043862108
PREDICTION,CHEMBL4086181,P03372,6.89853096008301,9.15,2.25146903991699,5.06911283770474
PREDICTION,CHEMBL1085899,P03372,7.81216335296631,7.16,-0.652163352966308,0.425317038952258
PREDICTION,CHEMBL1537093,P03372,5.55863618850708,4.6,-0.95863618850708,0.918983341915383
PREDICTION,CHEMBL189039,P03372,6.12175416946411,9.52,3.39824583053589,11.5480747247546
PREDICTION,CHEMBL184431,P03372,8.28997993469238,9.49,1.20002006530762,1.4400481571409
PREDICTION,CHEMBL71585,P03372,8.54336261749268,5.42,-3.12336261749268,9.7553940403507
PREDICTION,CHEMBL3427388,P03372,6.33532238006592,7.16,0.824677619934082,0.680093176820142
PREDICTION,CHEMBL184598,P03372,9.06998252868652,9.52,0.450017471313476,0.202515724487375
PREDICTION,CHEMBL314561,P03372,7.41729974746704,5.15,-2.26729974746704,5.14064814486411
PREDICTION,CHEMBL522823,P03372,5.09402990341187,7.14,2.04597009658813,4.18599363613286
PREDICTION,CHEMBL1577029,P03372,4.83654832839966,6.82,1.98345167160034,3.93408053357419
PREDICTION,CHEMBL205137,P03372,4.75496959686279,6.95,2.19503040313721,4.81815847069669
PREDICTION,CHEMBL370609,P03372,7.1907320022583,8.11,0.919267997741699,0.845053651672032
PREDICTION,CHEMBL226268,P03372,8.41697216033936,9.57,1.15302783966064,1.32947319903249
PREDICTION,CHEMBL195154,P03372,5.84184312820435,6.31,0.468156871795654,0.219170856609492
PREDICTION,CHEMBL1084746,P03372,5.17884874343872,6.2,1.02115125656128,1.04274988877668
PREDICTION,CHEMBL199599,P03372,6.0212516784668,6.94,0.918748321533204,0.844098478320079
PREDICTION,CHEMBL186598,P03372,7.35843324661255,6.37,-0.988433246612549,0.977000283009023
PREDICTION,CHEMBL3290287,P03372,6.88684225082397,8.51,1.62315774917603,2.63464107871018
PREDICTION,CHEMBL379889,P03372,5.2269172668457,6.91,1.6830827331543,2.83276748664214
PREDICTION,CHEMBL1085429,P03372,8.47702693939209,4.24,-4.23702693939209,17.9523972851343
PREDICTION,CHEMBL4217406,P03372,7.16370296478272,9.21,2.04629703521729,4.18733155633905
PREDICTION,CHEMBL3827045,P03372,5.39945125579834,6.4,1.00054874420166,1.00109778952352
PREDICTION,CHEMBL92660,P03372,7.69075345993042,7.5,-0.19075345993042,0.036386882475426
PREDICTION,CHEMBL433769,P03372,8.72312831878662,9,0.276871681213379,0.076657927857923
PREDICTION,CHEMBL4064736,P03372,6.80898952484131,7.4,0.591010475158692,0.349293381747303
PREDICTION,CHEMBL356893,P03372,6.50878047943115,7.7,1.19121952056885,1.41900394618428
PREDICTION,CHEMBL1577661,P03372,5.32138729095459,7.4,2.07861270904541,4.3206307942051
PREDICTION,CHEMBL1475434,P03372,5.09950256347656,8.11,3.01049743652344,9.06309481531419
PREDICTION,CHEMBL3427403,P03372,6.55163669586182,5,-1.55163669586182,2.40757643594497
PREDICTION,CHEMBL434525,P03372,8.10317230224609,6.41,-1.69317230224609,2.86683244509334
PREDICTION,CHEMBL379567,P03372,6.6965012550354,7.43,0.733498744964599,0.538020408864642
PREDICTION,CHEMBL1348377,P03372,4.96736860275269,4.39,-0.577368602752686,0.333354503444589
PREDICTION,CHEMBL3645263,P03372,7.37369823455811,7.22,-0.153698234558106,0.023623147306279
PREDICTION,CHEMBL405154,P03372,7.77409172058106,5.92,-1.85409172058105,3.43765610832722
PREDICTION,CHEMBL264862,P03372,5.38333559036255,5.33,-0.053335590362549,0.002844685199322
PREDICTION,CHEMBL3581691,P03372,8.049391746521,8.42,0.370608253479004,0.137350477546758
PREDICTION,CHEMBL195878,P03372,7.0315055847168,4.39,-2.6415055847168,6.97755175409003
PREDICTION,CHEMBL180253,P03372,8.65517234802246,6.96,-1.69517234802246,2.87360928949998
PREDICTION,CHEMBL3936897,P03372,7.31694555282593,8,0.683054447174072,0.466563377804278
PREDICTION,CHEMBL2031541,P03372,6.13561725616455,5.52,-0.615617256164551,0.378984606087571
PREDICTION,CHEMBL493097,P03372,4.84000825881958,5.53,0.68999174118042,0.476088602897188
PREDICTION,CHEMBL83451,P03372,7.31232500076294,5.88,-1.43232500076294,2.05155490781055
PREDICTION,CHEMBL3581688,P03372,8.43225479125977,4.45,-3.98225479125977,15.8583532225114
PREDICTION,CHEMBL187313,P03372,5.4231333732605,5.7,0.276866626739502,0.076655129002111
PREDICTION,CHEMBL4212982,P03372,6.93676090240479,7.85,0.913239097595215,0.834005649376522
